"section_title","section_kind","question_code","prompt","question_type","category","trait","reverse","scale_min","scale_max","option_a","option_b","option_c","option_d","option_e","impacts_a","impacts_b","impacts_c","impacts_d","impacts_e"
"Word Association","SCENARIO","Q61","Dissent","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Word Association","SCENARIO","Q62","Abandon","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Word Association","SCENARIO","Q63","Corruption","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Word Association","SCENARIO","Q64","Panic","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Word Association","SCENARIO","Q65","Sacrifice","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Tale Spin","SCENARIO","Q66","In the common story, why did the thirsty crow drop stones into the pot to raise the water level?","SJT_SINGLE","Tale Spin","","False","1","5","He was intelligent and figured out the solution through trial and error.","He was desperate and would try anything to survive.","He had seen another bird do this and simply copied the behavior.","He refused to accept death and fought creatively against it.","He wanted to prove to the other animals that he was clever.","","","","",""
"Tale Spin","SCENARIO","Q67","Why did the honest woodcutter in the folk tale refuse the golden axe and ask only for his iron one?","SJT_SINGLE","Tale Spin","","False","1","5","He was honest by nature and couldn't take what wasn't his.","He was afraid of being caught in a lie.","He calculated that honesty would be rewarded more in the long run.","He didn't believe the golden axe was real.","He was attached to his old axe and didn't want a new one.","","","","",""
"Tale Spin","SCENARIO","Q68","Why did the smart student in the colony, who knew all the answers, deliberately let others answer sometimes?","SJT_SINGLE","Tale Spin","","False","1","5","He understood that learning is collaborative and others need confidence too.","He was afraid of being seen as a show-off.","He was tired of always being the one to answer.","He wanted the teacher to like him less.","He was testing whether others had done the homework.","","","","",""
"Tale Spin","SCENARIO","Q69","Why did the smart fox run away from the grapes?","SJT_SINGLE","Tale Spin","","False","1","5","He realized it was an impossible task; no point wasting efforts.","He was fed up with a world that keeps rewards out of reach of hardworking folks.","He thought, ""I will find better grapes nearby if I search hard enough.""","He thought, ""To hell with the grapes—I will eat cucumbers today.""","He worried that other animals would mock him if he failed.","","","","",""
"Tale Spin","SCENARIO","Q70","Why did the tortoise challenge the hare to a race?","SJT_SINGLE","Tale Spin","","False","1","5","He knew that consistency and patience always defeat raw speed.","He was tired of the hare's arrogance and wanted to teach him a lesson.","He had nothing to lose and everything to gain by trying.","He miscalculated and didn't realize how fast the hare truly was.","He wanted to inspire other slow animals to believe in themselves.","","","","",""
